Condition,Code,Library,Charlson,Elixhauser
Human immunodeficiency virus [HIV] disease,,SNOMED,1,1
Autoimmune Disease,85828009,SNOMED,,
Chronic Haematological Disease,,SNOMED,,
Blood coagulation disorder,64779008,SNOMED,,
Stroke,,SNOMED,1,1
Cerebrovascular Disease,62914000,SNOMED,1,1
Hemiplegia,50582007,SNOMED,1,1
Paraplegia,60389000,SNOMED,1,1
Chronic heart disease,128238001,SNOMED,,1
Ischaemic Heart Disease,414545008,SNOMED,1,1
Atrial Fibrillation,49436004,SNOMED,,1
Myocardial Infarction,22298006,SNOMED,1,1
Congestive Heart Failure,42343007,SNOMED,1,1
Congenital Heart Disease,13213009,SNOMED,,1
Cardiomyopathy,85898001,SNOMED,,1
Heart valve disorder,368009,SNOMED,,1
Chronic inflammatory disorder,128294001,SNOMED,,
Chronic metabolic disorder,128289001,SNOMED,,1
Neurological disorder confirmed,407626008,SNOMED,,1
Chronic lung disease,413839001,SNOMED,,1
Undifferentiated connective tissue disease,239918008,SNOMED,,1
Dementia,52448006,SNOMED,1,1
Diabetes Mellitus (all types),73211009,SNOMED,1,1
Essential hypertension,59621000,SNOMED,,1
Immunosuppression,38013005,SNOMED,,1
Disorder of lipid metabolism,267431006,SNOMED,,1
Disease of liver,235856003,SNOMED,,1
Moderate or Severe Liver Disease,,SNOMED,1,1
Chronic Viral Hepatitis,10295004,SNOMED,,1
Primary malignant neoplasm,372087000,SNOMED,1,1
Leukemia,93143009,SNOMED,1,1
Malignant lymphoma,118600007,SNOMED,1,1
Multiple Myeloma,109989006,SNOMED,1,1
Metastatic carcinoid tumor Cancer,705176003,SNOMED,1,1
Solid tumor configuration,369757002,SNOMED,1,1
Neurodegenerative Disorders,,SNOMED,,1
Obesity,414916001,SNOMED,,1
Peripheral Vascular Disease,400047006,SNOMED,1,1
Reactive psychoses,231437006,SNOMED,,1
Disorder of pulmonary circulation,39785005,SNOMED,,1
Chronic Infection,,SNOMED,,
Rare Diseases and Inborn Errors of Metabolism,,SNOMED,,
Chronic Kidney Disease,709044004,SNOMED,1,1
Moderate or Severe Renal Disease,,SNOMED,1,1
Acute-on-chronic renal failure,236433006,SNOMED,1,1
Rheumatoid Disorders,,SNOMED,1,1
Transplant present,737294004,SNOMED,1,1
Asplenia,707147002,SNOMED,,1
Smoking,,SNOMED,,1
Psychoactive substance use disorder,11061003,SNOMED,,1
Recurrent deep vein thrombosis,710167004,SNOMED,,1
Hypothyroidism,40930008,SNOMED,,1
Hyperthyroidism,34486009,SNOMED,,1
Tuberculosis,56717001,SNOMED,1,1
