Variable / Field Name,Form Name,Section Header,Field Label,"Choices, Calculations, OR Slider Labels",Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Standardized Term Codelist URL,Metathesaurus Concept Code,Metathesaurus Code Link,Branching Logic (Show field only if...)
comorbidities_chroniccardiac,presentation,CO-MORBIDITIES AND RISK FACTORS (existing prior to admission and ongoing),Chronic cardiac disease (not hypertension),"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has chronic cardiovascular disease, specified as a disease of the heart or blood vessels, such as coronary heart disease, stroke, peripheral arterial disease and aortic disease caused by a blood clot (thrombosis), or a build up of fatty deposits inside an artery, leading to the artery hardening and narrowing (artherosclerosis). This can reduce the blood flow to the heart, brain or body at the specified time.  ",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"128292002, Chronic disease of cardiovascular system (disorder)",https://browser.ihtsdotools.org/?perspective=full&conceptId1=128292002&edition=MAIN/2023-05-31&release=&languages=en,"C1290380, Chronic disease/disorder of cardiovascular system",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C1290380,
comorbidities_hypertension,presentation,,Hypertension  ,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has hypertension, specified as a bloodpressure of 140/90 mmHg or higher at the specified time (WHO factsheet).",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"38341003, Hypertensive disorder",https://browser.ihtsdotools.org/?perspective=full&conceptId1=38341003&edition=MAIN/2023-05-31&release=&languages=en,"C4014808, Hypertension",https://ncim.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20MetaThesaurus&code=C4014808,
comorbidities_chronicpulmonary,presentation,,Chronic pulmonary disease (not asthma),"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has Chronic obstructive pulmonary disease, specified as chronic bronchitis, emphysema, chronic obstructive airways disease at the specific time",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"13645005, Chronic obstructive lung disease","https://termbrowser.nhs.uk/?perspective=full&conceptId1=13645005&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0024117, Chronic obstructive pulmonary disease",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0024117,
comorbidities_asthma,presentation,,Asthma (physician diagnosed),"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has asthma specified as a chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways at the specified time. ,COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"195967001, Asthma","https://termbrowser.nhs.uk/?perspective=full&conceptId1=195967001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4229310, Asthma",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4229310,
comorbidities_chronickidney,presentation,,Chronic kidney disease,"1, Yes | 2, No | 3, Unknown",An indication of a disorder characterized by gradual and usually permanent loss of kidney function resulting in renal failure at the specified time.,COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"709044004, Chronic kidney disease ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=709044004&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C1561643, Chronic kidney disease",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C1561643,
comorbidities_obesity,presentation,,Obesity (as defined by clinical staff),"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has obesity specified as having a high amount of body fat (body mass index [BMI] of 30 or more) at the specified time.,COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"414916001, Obesity (disorder)","https://termbrowser.nhs.uk/?perspective=full&conceptId1=414916001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3809449, Obesity",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3809449,
comorbidities_severeliver,presentation,,Moderate or severe liver disease,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has severe liver disease specified as cirrhosis and portal hypertension with variceal bleeding, ascites, chronic jaundice, or status post liver transplantation at the specified time. ",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"197270009, Acute hepatic failure, There is no mild, moderate or severe liver disease; only acute liver disease","https://termbrowser.nhs.uk/?perspective=full&conceptId1=197270009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","CL1680096, Moderate or severe liver or renal disease",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=CL1680096,
comorbidities_mildliver,presentation,,Mild liver disease,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has mild liver disease specified as Chronic hepatitis or cirrhosis without portal hypertension at the specified time.,COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"235856003, Disorder of liver ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=235856003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","CL1793621, Mild Liver Disease",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=CL1793621,
comorbidities_asplenia,presentation,,Asplenia,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had an asplenia or has been born without a spleen specified as an anatomic absence of the spleen or functional asplenia secondary to a variety of disease at the specified time.,COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"707147002, Asplenia","https://termbrowser.nhs.uk/?perspective=full&conceptId1=707147002&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","CL534652, asplenia following surgical procedure; C3810472, Congenital absence of spleen",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=CL534652                                                                                                                                                                                    https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3810472,
comorbidities_chronicneurological,presentation,,Chronic neurological disorder,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has a common neurological disorder, specified as Alzheimer's disease, Parkinson's disease, Dystonia, ALS, Huntington's disease, Neuromuscular disease, Multiple sclerosis and Epilepsy at the specified time.",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"118940003, Disorder of nervous system","https://termbrowser.nhs.uk/?perspective=full&conceptId1=118940003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0524851, Neurodegenerative disorders",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0524851,
