Microorganism,Code,Library
Achromobacter,91620006,SNOMED
Achromobacter xylosoxidans,413424009,SNOMED
Acinetobacter,7757008,SNOMED
Acinetobacter anitratus,82550008,SNOMED
Acinetobacter baumannii,91288006,SNOMED
Acinetobacter calcoaceticus,413398000,SNOMED
Acinetobacter calcoaceticus-baumannii complex,113376007,SNOMED
Acinetobacter johnsonii,252000,SNOMED
Actinomyces israelii,46369004,SNOMED
Aeromonas,88529008,SNOMED
Aggregatibacter,441718002,SNOMED
Anaerobic bacteria,59343002,SNOMED
Bacillus,44762009,SNOMED
Bacillus anthracis,21927003,SNOMED
Bacillus cereus,84408007,SNOMED
Bacteroides fragilis,55247009,SNOMED
Bacteroides thetaiotaomicron,34236001,SNOMED
Bordetella pertussis,5247005,SNOMED
Burkholderia,414324002,SNOMED
Burkholderia cenocepacia,416941006,SNOMED
Burkholderia cepacia,113669008,SNOMED
Burkholderia pseudomallei,116399000,SNOMED
Campylobacter,35408001,SNOMED
Chlamydia,16241000,SNOMED
Chlamydophila pneumoniae,103514009,SNOMED
Chryseobacterium indologenes,113549008,SNOMED
Citrobacter,75972000,SNOMED
Citrobacter braakii,114262000,SNOMED
Citrobacter freundii,6265002,SNOMED
Citrobacter koseri,114264004,SNOMED
Clostridium botulinum,13080008,SNOMED
Clostridium difficile,5933001,SNOMED
Clostridium difficile (toxin positive),736050006,SNOMED
Clostridium tetani,30917009,SNOMED
Coagulase negative Staphylococcus,116197008,SNOMED
Coliform bacteria,77309002,SNOMED
Corynebacterium,77086004,SNOMED
Corynebacterium amycolatum,113611002,SNOMED
Corynebacterium pseudodiphtheriticum,12050008,SNOMED
Corynebacterium pseudotuberculosis,55084001,SNOMED
Corynebacterium striatum,63815007,SNOMED
Corynebacterium ulcerans,103428000,SNOMED
Corynebacterium xerosis,27101006,SNOMED
Cryptococcus,17579001,SNOMED
Cryptococcus neoformans,67168003,SNOMED
Delftia,416493002,SNOMED
Delftia acidovorans,20432002,SNOMED
Dermabacter,413976002,SNOMED
Diphtheroid,54642001,SNOMED
Eggerthella,414075007,SNOMED
Elizabethkingia,426244005,SNOMED
Enteric bacteria,106544002,SNOMED
Enterobacter,58683007,SNOMED
Enterobacter aerogenes,62592009,SNOMED
Enterobacter asburiae,33115003,SNOMED
Enterobacter bugandensis,1.14E+14,SNOMED
Enterobacter cloacae,14385002,SNOMED
Enterobacter cloacae complex,414102007,SNOMED
Enterobacter hormaechei,114454006,SNOMED
Enterobacter kobei,114456008,SNOMED
