Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
subjid,presentation,,text,Participant Identification Number (PIN):,,999-9999 (SiteNo-PIN),,,,,,,,,,,
inclusioncriteria_infection,presentation,INCLUSION CRITERIA,radio,Suspected or confirmed infection with a pathogen of public health interest,"1, Yes | 2, No",,,,,,,,RH,,,,
inclusioncriteria_exposure,presentation,,radio,Exposure to a pathogen or health threat of public health interest,"1, Yes | 2, No",,,,,,,,RH,,,,
inclusioncriteria_disease,presentation,,checkbox,Which of the following is the individual proven/suspected of having?,"1, Avian influenza A H7N9/ H5N1/ H5N6/ H7N7 | 2, Severe acute paediatric hepatitis | 3, MPox | 4, Dengue | 5, COVID-19 (SARS-CoV-2) | 6, Other",,,,,,,,,,,,
inclusioncriteria_diseaseother,presentation,,text,Specify other suspected or confirmed infection:,,,,,,,[inclusioncriteria_disease(6)] = '1',,,,,,
dates_enrolment,presentation,"PRESENTATION, ONSET & ADMISSION",text,Date of enrolment /start of data collection: ,,,date_dmy,,today,,,,,,,,
dates_onsetdate,presentation,,text,Onset date of first/earliest symptom: ,,,date_dmy,,,,,,,,,,
dates_admissiondate,presentation,,text,"If admitted to hospital, date of most recent hospital admission: ",,,date_dmy,,,,,,,,,,
readmission_previosadmission,presentation,RE-ADMISSION AND PREVIOUS PIN,radio,Was the patient admitted previously or transferred from any other facility during this illness episode?,"1, YES-admitted previously to this facility | 2, YES-admitted to other facility, then transferred to this facility | 3, No",,,,,,,,,,,,
readmission_numberprevious,presentation,,text,Total number of previous admissions for this infection,,,number,,,,[readmission_previosadmission] = '2' or [readmission_previosadmission] = '1',,,,,,
readmission_firstadmission,presentation,,text,Date of earliest admission for this infection,,,date_dmy,,,,[readmission_previosadmission] = '2' or [readmission_previosadmission] = '1',,,,,,
readmission_differentpin,presentation,,radio,Has this patient's data been previously collected under a different patient number? ,"1, Yes | 2, No",,,,,,,,RH,,,,
readmission_previouspin,presentation,,text,Participant Identification number (PIN),,,,,,,[readmission_differentpin] = '1',,,,,,
demographics_sex,presentation,DEMOGRAPHICS,radio,Sex at Birth,"1, Male | 2, Female",,,,,,,,RH,,,,
demographics_age,presentation,,text,Age,,,integer,,,,,,,,,,
demographics_ageunits,presentation,,radio,Age units,"1, Years | 2, Months | 3, Days",,,,,,,,RH,,,,
demographics_height,presentation,,text,Height (cm),,cm,number,,,,,,,,,,
demographics_weight,presentation,,text,Weight (kg),,,number,,,,,,,,,,
demographics_race,presentation,,checkbox,Race (check all that apply),"1, Arab | 2, Black | 3, East Asian | 4, Soth-East Asian | 5, West asian | 6, Latin American | 7, White | 8, Aboriginal/First Nations/Indigenous | 9, Other",,,,,,,,,,,,
demographics_raceother,presentation,,text,Specify other race,,,,,,,[demographics_race(9)] = '1',,,,,,
demographics_ocupationlocation,presentation,,radio,Primary location of occupation:  ,"1, Home-working or unemployed | 2, Indoors-office/health/education/hospitality/business | 3, Indoors-factory | 4, Outdoors-agriculture/forestry/fisheries | 5, Outdoors-construction/industrial/mining | 6, Armed Forces | 7, Student | 8, Other",,,,,,[inclusioncriteria_disease(4)] = '1',,,,,,
demographics_ocupationlocationother,presentation,,text,Specify other primary location of occupation,,,,,,,[demographics_ocupationlocation] = '8',,,,,,
demographics_regionresidence,presentation,,radio,Patient's region of residence:,"1, Same as health care facility | 2, Other region",,,,,,,,RH,,,,
demographics_regionresidenceother,presentation,,text,Specify Patient's region of residence:,,,,,,,[demographics_regionresidence] = '2',,,,,,
demographicsdengue_travel,presentation,,radio,Did the patient travel outside of their home region in the past 14 days? ,"1, Yes | 2, No",,,,,,,,RH,,,,
demographicsdengue_destinations,presentation,,notes,Where did patient travel to? (list all city/cities or town(s) and region(s),,,,,,,[demographicsdengue_travel] = '1',,,,,,
demographics_pregnant,presentation,,radio,Pregnant,"1, Yes | 2, No",,,,,,[demographics_sex] = '2',,RH,,,,
demographics_gestationalweeks,presentation,,text,Gestational weeks assessment,,,number,,,,[demographics_pregnant] = '1',,,,,,
medicalhistory_prevdengueinfections,presentation,MEDICAL HISTORY,radio,Is the patient known to have previous dengue infection(s)?,"1, Yes | 2, No",,,,,,,,RH,,,,
medicalhistory_prevdenguehospitalization,presentation,,radio,Was the patient ever hospitalised for a previous dengue infection ?,"1, Yes- admitted to hospital or ICU | 2, No",,,,,,[medicalhistory_prevdengueinfections] = '1',,RH,,,,
vaccinationdengue_vaccine,presentation,VACCINATION - DENGUE,radio,Vaccinated for dengue?,"1, Yes, once | 2, Yes, twice | 3, Yes, thrice | 4, No",,,,,,[inclusioncriteria_disease(4)] = '1',,,,,,
vaccinationdengue_vaccinedate,presentation,,text,Date of first dengue vaccine,,,date_dmy,,,,([vaccinationdengue_vaccine] = '1' or [vaccinationdengue_vaccine] = '2' or [vaccinationdengue_vaccine] = '3'),,,,,,
vaccinationdengue_vaccinetype,presentation,,radio,Type of first dengue vaccine,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",,,,,,([vaccinationdengue_vaccine] = '1' or [vaccinationdengue_vaccine] = '2' or [vaccinationdengue_vaccine] = '3'),,RH,,,,
vaccinationdengue_vaccineseconddate,presentation,,text,Date of second dengue vaccine,,,date_dmy,,,,([vaccinationdengue_vaccine] = '2' or [vaccinationdengue_vaccine] = '3' ),,,,,,
vaccinationdengue_vaccinesecondtype,presentation,,radio,Type of second dengue vaccine,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",,,,,,([vaccinationdengue_vaccine] = '2' or [vaccinationdengue_vaccine] = '3'),,RH,,,,
vaccinationdengue_vaccinethirddate,presentation,,text,Date of third dengue vaccine,,,date_dmy,,,,( [vaccinationdengue_vaccine] = '3'),,,,,,
vaccinationdengue_vaccinethirdtype,presentation,,radio,Type of third dengue vaccine,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",,,,,,( [vaccinationdengue_vaccine] = '3'),,RH,,,,
medication_steroids,presentation,MEDICATION PREVIOUS 14-DAYS (include all taken within 14 days prior to this most recent admission/presentation),radio,Steroids,"1, Yes | 2, No",,,,,,,,RH,,,,
medication_steroidsagent,presentation,,text,Steroid agent:,,,,,,,[medication_steroids] = '1',,RH,,,,
medication_steroidsroute,presentation,,radio,Steroids administration route,"1, Oral | 2, Inhaled | 3, IV",,,,,,[medication_steroids] = '1',,RH,,,,
medication_inmunusuppressant,presentation,,radio,Immunosuppressant agents (not steroids),"1, Yes | 2, No",,,,,,,,RH,,,,
medication_inmunusuppressantagent,presentation,,text,Immunosuppressant agents:,,,,,,,[medication_inmunusuppressant] = '1',,RH,,,,
medication_antibiotics,presentation,,radio,Antibiotics,"1, Yes | 2, No",,,,,,,,RH,,,,
medication_atibioticagent,presentation,,text,Antibiotic agent,,,,,,,[medication_antibiotics] = '1',,,,,,
medication_aspirin,presentation,,radio,Aspirin,"1, Yes | 2, No",,,,,,,,RH,,,,
medication_nsaids,presentation,,radio,NSAIDs,"1, Yes | 2, No",,,,,,,,RH,,,,
medication_nsaidsagent,presentation,,text,NSAIDs agent,,,,,,,[medication_nsaids] = '1',,,,,,
medication_anticoagulants,presentation,,radio,Anticoagulants,"1, Yes | 2, No",,,,,,,,RH,,,,
medication_anticoagulantsagent,presentation,,text,Anticoagulants agent,,,,,,,[medication_anticoagulants] = '1',,,,,,
medication_ivfluids,presentation,,radio,Intravenous fluids,"1, Yes | 2, No",,,,,,,,RH,,,,
medication_ivfluidstype,presentation,,radio,Intravenous fluids Type,"1, isotonic | 2, hypotonic | 3, hypertonic",,,,,,[medication_ivfluids] = '1',,RH,,,,
medication_ivfluidsvolumen,presentation,,text,Volume in previous 24 hours  (mL),,,number,,,,[medication_ivfluids] = '1',,,,,,
medication_unlisted,presentation,,radio,Other pathogen-targeted medications,"1, Yes | 2, No",,,,,,,,RH,,,,
medication_unlistedother,presentation,,text,Other agent,,,,,,,[medication_unlisted] = '1',,,,,,
comorbidities_chroniccardiac,presentation,CO-MORBIDITIES AND RISK FACTORS (existing prior to admission and ongoing),radio,Chronic cardiac disease (not hypertension),"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_hypertension,presentation,,radio,Hypertension  ,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_chronicpulmonary,presentation,,radio,Chronic pulmonary disease (not asthma),"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_asthma,presentation,,radio,Asthma (physician diagnosed),"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_chronickidney,presentation,,radio,Chronic kidney disease,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_obesity,presentation,,radio,Obesity (as defined by clinical staff),"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_liverdisease,presentation,,radio,Liver disease,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_hepatiticbc,presentation,,radio,Chronic hepatitis B/C infection,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_asplenia,presentation,,radio,Asplenia,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_chronicneurological,presentation,,radio,Chronic neurological disorder,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_malignantneoplasm,presentation,,radio,Malignant neoplasm,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_chronichematologic,presentation,,radio,Chronic hematologic disease,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_rheumatologic,presentation,,radio,Rheumatologic disorder,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_aids,presentation,,radio,AIDS / HIV,"1, Yes-on ART | 2, Yes-not on ART | 3, No",,,,,,,,,,,,
comorbidities_cd4count,presentation,,radio,Most recent CD4 count,"1, < 200 | 2, 200-< 500 | 3, >= 500   cells/uL",,,,,,[comorbidities_aids] = '1' or [comorbidities_aids] = '2',,,,,,
comorbidities_diabetes,presentation,,radio,Diabetes Mellitus,"1, Yes-Type 1 | 2, Yes -Type 2 | 3, Yes -Gestational | 4, No",,,,,,,,,,,,
comorbidities_hba1c,presentation,,text,HbA1C results (within last 6 months) ,,,number,,,,[comorbidities_diabetes] = '1' or [comorbidities_diabetes] = '2' or [comorbidities_diabetes] = '3',,,,,,
comorbidities_hba1cunits,presentation,,radio,HbA1C test units,"1, mmol/mol | 2, mmol/L | 3, %",,,,,,[comorbidities_diabetes] = '1' or [comorbidities_diabetes] = '2' or [comorbidities_diabetes] = '3',,,,,,
comorbidities_dementia,presentation,,radio,Dementia,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_tuberculosis,presentation,,radio,Tuberculosis,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_malnutrition,presentation,,radio,Malnutrition,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_smoking,presentation,,radio,Smoking,"1, Current smoker | 2, Never smoked | 3, Former smoke",,,,,,,,,,,,
comorbidities_unlisted,presentation,,radio,Other relevant risk factor(s)                       ,"1, Yes | 2, No",,,,,,,,RH,,,,
comorbidities_unlistedother,presentation,,text,Specify other relevant risk factors,,,,,,,[comorbidities_unlisted] = '1',,,,,,
symptoms_fever,presentation,"SIGNS AND SYMPTOMS ON ADMISSION  (first data, within 24 hours of presentation/admission)",radio,History of fever / chills / rigors,"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_cough,presentation,,radio,Cough      ,"1, Yes - non-productive | 2, Yes - productive | 3, Yes - with haemoptysis | 4, No",,,,,,,,,,,,
symptoms_shortnessofbreath,presentation,,radio,Shortness of breath ,"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_headache,presentation,,radio,Headache,"1, Yes | 2, No",,,,,,,,RH,,,,
denguesymptoms_retroorbitalpain,presentation,,radio,Retro-orbital pain,"1, Yes | 2, No",,,,,,[inclusioncriteria_disease(4)] = '1',,RH,,,,
symptoms_seizures,presentation,,radio,Seizures / convulsions,"1, Yes | 2, No",,,,,,,,RH,,,,
denguesymptoms_restlessness,presentation,,radio,Restlessness,"1, Yes | 2, No",,,,,,[inclusioncriteria_disease(4)] = '1',,RH,,,,
symptoms_fatigue,presentation,,radio,Fatigue / Malaise / Lethargy,"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_myalgia,presentation,,radio,Muscle aches (myalgia),"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_arthralgia,presentation,,radio,Joint pain (arthralgia),"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_abdominalpain,presentation,,radio,Abdominal pain,"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_diarrhoea,presentation,,radio,Diarrhoea,"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_nausea,presentation,,radio,Vomiting / Nausea,"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_anorexia,presentation,,radio,Anorexia,"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_skinrash,presentation,,radio,Skin rash,"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_haemorrhage,presentation,,radio,Bleeding (Haemorrhage),"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_haemorrhagesite,presentation,,checkbox,specify site(s) of bleeding,"1, Skin | 2, Nose | 3, Gums | 4, GI tract | 5, Urinary tract | 6, Vaginal | 7, Other",,,,,,[symptoms_haemorrhage] = '1',,,,,,
symptoms_haemorrhagesiteother,presentation,,text,Specify other bleeding site,,,,,,,[symptoms_haemorrhagesite(7)] = '1',,RH,,,,
denguesymptoms_neurologicalunlisted,presentation,,radio,Other neurological abnormality,"1, Yes | 2, No",,,,,,[inclusioncriteria_disease(4)] = '1',,RH,,,,
denguesymptoms_neurologicalunlistedother,presentation,,text,Specify other neurological abnormality,,,,,,,[denguesymptoms_neurologicalunlisted] = '1',,RH,,,,
symptoms_unlisted,presentation,,radio,Other symptom(s),"1, Yes | 2, No",,,,,,,,RH,,,,
symptoms_unlistedother,presentation,,text,Specify other symptoms,,,,,,,[symptoms_unlisted] = '1',,,,,,
daily_date,daily,,text,DATE OF ASSESSMENT,,,date_dmy,,,,,,,,,,
daily_datatype,daily,,checkbox,What type of patient data will you enter?,"1, Vital Signs & Assessments | 2, Treatments & Interventions | 3, Laboratory Results | 4, Imaging",,,,,,,,,,,,
vitals_highesttemp,daily,VITAL SIGNS & ASSESSMENTS (Record the value furthest from normal range between 00:00 to 24:00 on day of assessment),text,Highest temperature,,,number,,,,[daily_datatype(1)]='1',,,,,,
vitals_highes_ttemp_units,daily,,radio,Temperature Units,"1, °C | 2, °F",,,,,,[daily_datatype(1)]='1',,RH,,,,
vitals_hr,daily,,text,HR (beats/minute),,,number,,,,[daily_datatype(1)]='1',,,,,,
vitals_rr,daily,,text,RR (breaths/minute),,,number,,,,[daily_datatype(1)]='1',,,,,,
vitals_systolicbp,daily,,text,Systolic BP (mmHg),,,number,,,,[daily_datatype(1)]='1',,,,,,
vitals_diastolicbp,daily,,text,Diastolic BP (mmHg),,,number,,,,[daily_datatype(1)]='1',,,,,,
vitals_sao2,daily,,text,Lowest Oxygen saturation SaO2 (%),,,number,,,,[daily_datatype(1)]='1',,,,,,
vitals_suplementalo2,daily,,radio,Supplemental oxygen at point of SaO2 measure,"1, Yes | 2, No",,,,,,[daily_datatype(1)]='1',,RH,,,,
vitals_suplementalo2lowestspo2,daily,,text,FiO2 at time of lowest SpO2,,,number,,,,[vitals_suplementalo2] = '1',,RH,,,,
vitals_suplementalo2lowestspo2units,daily,,radio,FiO2 units,"1, 0.21-1.0 | 2, %",,,,,,[vitals_suplementalo2] = '1',,RH,,,,
vitals_capillaryrefill,daily,,radio,Capillary refill time >2seconds,"1, Yes | 2, No",,,,,,[daily_datatype(1)]='1',,RH,,,,
vitals_avpu,daily,,checkbox,AVPU,"1, Alert | 2, Verbal | 3, Pain | 4, Unresponsive",,,,,,[daily_datatype(1)]='1',,RH,,,,
